Date,Open,High,Low,Close,Volume,Market Cap
30/07/2021,40027.48,42235.55,38397.35,42235.55,33072782960,7.9283E+11
31/07/2021,42196.3,42231.45,41110.83,41626.2,25802845343,7.81431E+11
01/08/2021,41460.84,42541.68,39540.94,39974.9,26688438115,7.50472E+11
02/08/2021,39907.26,40419.18,38746.35,39201.95,25595265436,7.35996E+11
03/08/2021,39178.4,39750.03,37782.05,38152.98,26189830450,7.16342E+11
04/08/2021,38213.33,39952.3,37589.17,39747.51,25372562724,7.46314E+11
05/08/2021,39744.51,41341.93,37458,40869.55,35185031017,7.67423E+11
06/08/2021,40865.87,43271.66,39932.18,42816.5,38226483046,8.04023E+11
07/08/2021,42832.8,44689.86,42618.57,44555.8,40030862141,8.36731E+11
08/08/2021,44574.44,45282.35,43331.91,43798.12,36302664750,8.22545E+11
09/08/2021,43791.93,46456.83,42848.69,46365.4,38734079049,8.70805E+11
10/08/2021,46280.85,46637.99,44705.56,45585.03,33546019517,8.56195E+11
11/08/2021,45599.7,46735.63,45351.71,45593.64,34319709073,8.56399E+11
12/08/2021,45576.88,46228.91,43861.45,44428.29,33723620826,8.34547E+11
13/08/2021,44439.69,47831.98,44282.42,47793.32,31744259539,8.97803E+11
14/08/2021,47810.69,48098.68,46177.63,47096.95,31211354442,8.8477E+11
15/08/2021,47096.67,47357.11,45579.59,47047,30988958446,8.83883E+11
16/08/2021,47019.96,47998.1,45700.32,46004.48,32776876610,8.64346E+11
17/08/2021,45936.46,47139.57,44512.42,44695.36,33451362600,8.39797E+11
18/08/2021,44686.75,45952.06,44364.03,44801.19,32194123075,8.41823E+11
19/08/2021,44741.88,46970.76,43998.32,46717.58,37204312299,8.77876E+11
20/08/2021,46723.12,49342.15,46650.71,49339.18,34706867452,9.2719E+11
21/08/2021,49327.07,49717.02,48312.2,48905.49,40585205312,9.19092E+11
22/08/2021,48869.1,49471.61,48199.94,49321.65,25370975378,9.26962E+11
23/08/2021,49291.68,50482.08,49074.61,49546.15,34305053719,9.31244E+11
24/08/2021,49562.35,49878.77,47687.12,47706.12,35361168834,8.96705E+11
25/08/2021,47727.26,49202.88,47163.61,48960.79,32646349931,9.20338E+11
26/08/2021,49002.64,49347.58,46405.78,46942.22,32666549568,8.82437E+11
27/08/2021,46894.56,49112.79,46394.28,49058.67,34511076995,9.22266E+11
28/08/2021,49072.59,49283.51,48499.24,48902.4,28568103401,9.19373E+11
29/08/2021,48911.25,49644.11,47925.86,48829.83,25889650240,9.18057E+11
30/08/2021,48834.85,48925.61,46950.27,47054.98,31847007016,8.84728E+11
31/08/2021,47024.34,48189.55,46750.09,47166.69,34730363427,8.8687E+11
