Date,Close
01/05/2021,57828.05
02/05/2021,56631.08
03/05/2021,57200.29
04/05/2021,53333.54
05/05/2021,57424.01
06/05/2021,56396.51
07/05/2021,57356.4
08/05/2021,58803.78
09/05/2021,58232.32
10/05/2021,55859.8
11/05/2021,56704.57
12/05/2021,49150.53
13/05/2021,49716.19
14/05/2021,49880.53
15/05/2021,46760.19
16/05/2021,46456.06
17/05/2021,43537.51
18/05/2021,42909.4
19/05/2021,37002.44
20/05/2021,40782.74
21/05/2021,37304.69
22/05/2021,37536.63
23/05/2021,34770.58
24/05/2021,38705.98
25/05/2021,38402.22
26/05/2021,39294.2
27/05/2021,38436.97
28/05/2021,35697.61
29/05/2021,34616.07
30/05/2021,35678.13
31/05/2021,37332.85
01/06/2021,36684.92
02/06/2021,37575.18
03/06/2021,39208.77
04/06/2021,36894.41
05/06/2021,35551.96
06/06/2021,35862.38
07/06/2021,33560.71
08/06/2021,33472.63
09/06/2021,37345.12
10/06/2021,36702.6
11/06/2021,37334.4
12/06/2021,35552.52
13/06/2021,39097.86
14/06/2021,40218.48
15/06/2021,40406.27
16/06/2021,38347.06
17/06/2021,38053.5
18/06/2021,35787.24
19/06/2021,35615.87
20/06/2021,35698.3
21/06/2021,31676.69
22/06/2021,32505.66
23/06/2021,33723.03
24/06/2021,34662.44
25/06/2021,31637.78
26/06/2021,32186.28
27/06/2021,34649.64
28/06/2021,34434.34
29/06/2021,35867.78
30/06/2021,35040.84
01/07/2021,33572.12
02/07/2021,33897.05
03/07/2021,34668.55
04/07/2021,35287.78
05/07/2021,33746
06/07/2021,34235.19
07/07/2021,33855.33
08/07/2021,32877.37
09/07/2021,33798.01
10/07/2021,33520.52
11/07/2021,34240.19
12/07/2021,33155.85
13/07/2021,32702.03
14/07/2021,32822.35
15/07/2021,31780.73
16/07/2021,31421.54
17/07/2021,31533.07
18/07/2021,31796.81
19/07/2021,30817.83
20/07/2021,29807.35
21/07/2021,32110.69
22/07/2021,32313.11
23/07/2021,33581.55
24/07/2021,34292.45
25/07/2021,35350.19
26/07/2021,37337.53
27/07/2021,39406.94
28/07/2021,39995.91
29/07/2021,40008.42
30/07/2021,42235.55
31/07/2021,41626.2
01/08/2021,39974.9
02/08/2021,39201.95
03/08/2021,38152.98
04/08/2021,39747.51
05/08/2021,40869.55
06/08/2021,42816.5
07/08/2021,44555.8
08/08/2021,43798.12
09/08/2021,46365.4
10/08/2021,45585.03
11/08/2021,45593.64
12/08/2021,44428.29
13/08/2021,47793.32
14/08/2021,47096.95
15/08/2021,47047
16/08/2021,46004.48
17/08/2021,44695.36
18/08/2021,44801.19
19/08/2021,46717.58
20/08/2021,49339.18
21/08/2021,48905.49
22/08/2021,49321.65
23/08/2021,49546.15
24/08/2021,47706.12
25/08/2021,48960.79
26/08/2021,46942.22
27/08/2021,49058.67
28/08/2021,48902.4
29/08/2021,48829.83
30/08/2021,47054.98
31/08/2021,47166.69
